,state_abbr,geoid,ccid,chamber,district_name,name,dem_share,year,district_number,cc_score,seat_number,party,is_current
2506,MI,26106,26106L,State House,State House District 106,Sue Allor,32.1,2016.0,06,61,106,Republican,True
2509,MI,26003,26003L,State House,State House District 3,Shri Thanedar,96.3,2016.0,03,9999,3,Democrat,True
2513,MI,26073,26073L,State House,State House District 73,Bryan Posthumus,38.7,2016.0,73,9999,73,Republican,True
2517,MI,26088,26088L,State House,State House District 88,Luke Meerman,25.8,2016.0,88,50,88,Republican,True
2518,MI,26107,26107L,State House,State House District 107,John Damoose,35.3,2016.0,07,9999,107,Republican,True
2522,MI,26085,26085L,State House,State House District 85,Ben Frederick,35.6,2016.0,85,50,85,Republican,True
2525,MI,26063,26063L,State House,State House District 63,Matthew Hall,36.7,2016.0,63,58,63,Republican,True
2528,MI,26110,26110L,State House,State House District 110,Gregory Markkanen,37.6,2016.0,10,45,110,Republican,True
2532,MI,26068,26068L,State House,State House District 68,Sarah Anthony,69.9,2016.0,68,100,68,Democrat,True
2537,MI,26046,26046L,State House,State House District 46,John Reilly,33.3,2016.0,46,50,46,Republican,True
2539,MI,26017,26017L,State House,State House District 17,Joseph Bellino,38.4,2016.0,17,50,17,Republican,True
2545,MI,26056,26056L,State House,State House District 56,TC Clements,35.5,2016.0,56,9999,56,Republican,True
2548,MI,26031,26031L,State House,State House District 31,William Sowerby,47.3,2016.0,31,96,31,Democrat,True
2551,MI,26094,26094L,State House,State House District 94,Rodney Wakeman,37.4,2016.0,94,58,94,Republican,True
2553,MI,26102,26102L,State House,State House District 102,Michele Hoitenga,30.9,2016.0,02,50,102,Republican,True
2555,MI,26087,26087L,State House,State House District 87,Julie Calley,30.1,2016.0,87,46,87,Republican,True
2561,MI,26040,26040L,State House,State House District 40,Mari Manoogian,53.6,2016.0,40,83,40,Democrat,True
2564,MI,26069,26069L,State House,State House District 69,Julie Brixie,65.3,2016.0,69,83,69,Democrat,True
2567,MI,26103,26103L,State House,State House District 103,Daire Rendon,28.6,2016.0,03,53,103,Republican,True
2570,MI,26019,26019L,State House,State House District 19,Laurie Pohutsky,43.6,2016.0,19,100,19,Democrat,True
2573,MI,26047,26047L,State House,State House District 47,Robert Bezotte,29.6,2016.0,47,9999,47,Republican,True
2576,MI,26062,26062L,State House,State House District 62,Jim Haadsma,46.2,2016.0,62,83,62,Democrat,True
2578,MI,26035,26035L,State House,State House District 35,Kyra Bolden,81.8,2016.0,35,80,35,Democrat,True
2580,MI,26001,26001L,State House,State House District 1,Tenisha Yancey,74.5,2016.0,01,77,1,Democrat,True
2583,MI,26067,26067L,State House,State House District 67,Kara Hope,48.1,2016.0,67,100,67,Democrat,True
2586,MI,26089,26089L,State House,State House District 89,Jim Lilly,36.3,2016.0,89,50,89,Republican,True
2588,MI,26101,26101L,State House,State House District 101,Jack O'Malley,40.5,2016.0,01,58,101,Republican,True
2591,MI,26060,26060L,State House,State House District 60,Julie Rogers,69.4,2016.0,60,9999,60,Democrat,True
2594,MI,26095,26095L,State House,State House District 95,Amos O'Neal,66.5,2016.0,95,9999,95,Democrat,True
2598,MI,26080,26080L,State House,State House District 80,Mary Whiteford,34.0,2016.0,80,50,80,Republican,True
2601,MI,26074,26074L,State House,State House District 74,Mark Huizenga,34.4,2016.0,74,75,74,Republican,True
2604,MI,26030,26030L,State House,State House District 30,Diana Farrington,39.3,2016.0,30,50,30,Republican,True
2606,MI,26100,26100L,State House,State House District 100,Scott VanSingel,30.4,2016.0,00,60,100,Republican,True
2607,MI,26052,26052L,State House,State House District 52,Donna Lasinski,52.0,2016.0,52,92,52,Democrat,True
2611,MI,26096,26096L,State House,State House District 96,Timothy Beson,43.1,2016.0,96,9999,96,Republican,True
2615,MI,26078,26078L,State House,State House District 78,Brad Paquette,35.5,2016.0,78,50,78,Republican,True
2618,MI,26053,26053L,State House,State House District 53,Yousef Rabhi,84.0,2016.0,53,88,53,Democrat,True
2622,MI,26105,26105L,State House,State House District 105,Ken Borton,31.1,2016.0,05,9999,105,Republican,True
2626,MI,26042,26042L,State House,State House District 42,Ann Bollin,35.2,2016.0,42,58,42,Republican,True
2628,MI,26014,26014L,State House,State House District 14,Cara Clemente,50.5,2016.0,14,92,14,Democrat,True
2631,MI,26059,26059L,State House,State House District 59,Steve Carra,32.7,2016.0,59,9999,59,Republican,True
2634,MI,26037,26037L,State House,State House District 37,Samantha Steckloff,60.1,2016.0,37,9999,37,Democrat,True
2637,MI,26009,26009L,State House,State House District 9,Karen Whitsett,93.9,2016.0,09,85,9,Democrat,True
2640,MI,26033,26033L,State House,State House District 33,Jeffrey Yaroch,32.3,2016.0,33,61,33,Republican,True
2643,MI,26099,26099L,State House,State House District 99,Roger Hauck,40.9,2016.0,99,50,99,Republican,True
2646,MI,26058,26058L,State House,State House District 58,Andrew Fink,26.3,2016.0,58,9999,58,Republican,True
2649,MI,26104,26104L,State House,State House District 104,John Roth,40.7,2016.0,04,9999,104,Republican,True
2651,MI,26028,26028L,State House,State House District 28,Lori Stone,54.8,2016.0,28,100,28,Democrat,True
2656,MI,26057,26057L,State House,State House District 57,Bronna Kahle,36.8,2016.0,57,50,57,Republican,True
2659,MI,26109,26109L,State House,State House District 109,Sara Cambensy,44.8,2016.0,09,68,109,Democrat,True
2662,MI,26011,26011L,State House,State House District 11,Jewell Jones,60.7,2016.0,11,80,11,Democrat,True
2665,MI,26032,26032L,State House,State House District 32,Pamela Hornberger,30.8,2016.0,32,42,32,Republican,True
2668,MI,26061,26061L,State House,State House District 61,Christine Morse,49.2,2016.0,61,9999,61,Democrat,True
2671,MI,26018,26018L,State House,State House District 18,Kevin Hertel,50.5,2016.0,18,84,18,Democrat,True
2674,MI,26108,26108L,State House,State House District 108,Beau LaFave,32.8,2016.0,08,46,108,Republican,True
2676,MI,26029,26029L,State House,State House District 29,Brenda Carter,69.5,2016.0,29,80,29,Democrat,True
2679,MI,26044,26044L,State House,State House District 44,Matthew Maddock,34.0,2016.0,44,50,44,Republican,True
2681,MI,26015,26015L,State House,State House District 15,Abdullah Hammoud,62.8,2016.0,15,100,15,Democrat,True
2684,MI,26041,26041L,State House,State House District 41,Padma Kuppa,48.3,2016.0,41,100,41,Democrat,True
2686,MI,26016,26016L,State House,State House District 16,Kevin Coleman,56.1,2016.0,16,58,16,Democrat,True
2689,IL,17116,17116L,State House,State House District 116,David Friess,,,16,9999,116,Republican,True
2693,IL,17051,17051L,State House,State House District 51,Chris Bos,,,51,9999,51,Republican,True
2698,IL,17010,17010L,State House,State House District 10,Jawaharial Williams,,,10,100,10,Democrat,True
2704,IL,17008,17008L,State House,State House District 8,LaShawn Ford,,,08,94,8,Democrat,True
2705,IL,17022,17022L,State House,State House District 22,Michael Madigan,,,22,87,22,Democrat,True
2706,IL,17022,17022L,State House,State House District 22,Michael Madigan,,,22,9999,22,Democrat,True
2707,IL,17005,17005L,State House,State House District 5,Lamont Robinson,,,05,100,5,Democrat,True
2710,IL,17117,17117L,State House,State House District 117,Dave Severin,,,17,74,117,Republican,True
2713,IL,17027,17027L,State House,State House District 27,Justin Slaughter,,,27,94,27,Democrat,True
2715,IL,17097,17097L,State House,State House District 97,Mark Batinick,,,97,77,97,Republican,True
2717,IL,17086,17086L,State House,State House District 86,Lawrence Walsh,,,86,94,86,Democrat,True
2719,IL,17026,17026L,State House,State House District 26,Kambium Buckner,,,26,100,26,Democrat,True
2723,IL,17044,17044L,State House,State House District 44,Fred Crespo,,,44,86,44,Democrat,True
2724,IL,17015,17015L,State House,State House District 15,John D'Amico,,,15,94,15,Democrat,True
2725,IL,17041,17041L,State House,State House District 41,Janet Yang Rohr,,,41,9999,41,Democrat,True
2729,IL,17016,17016L,State House,State House District 16,Denyse Wang Stoneback,,,16,9999,16,Democrat,True
2732,IL,17064,17064L,State House,State House District 64,Tom Weber,,,64,76,64,Republican,True
2734,IL,17006,17006L,State House,State House District 6,Sonya Harper,,,06,98,6,Democrat,True
2736,IL,17020,17020L,State House,State House District 20,Bradley Stephens,,,20,9999,20,Republican,True
2738,IL,17118,17118L,State House,State House District 118,Patrick Windhorst,,,18,70,118,Republican,True
2741,IL,17115,17115L,State House,State House District 115,Paul Jacobs,,,15,9999,115,Republican,True
2743,IL,17050,17050L,State House,State House District 50,Keith Wheeler,,,50,79,50,Republican,True
2745,IL,17111,17111L,State House,State House District 111,Amy Elik,,,11,9999,111,Republican,True
2748,IL,17095,17095L,State House,State House District 95,Avery Bourne,,,95,78,95,Republican,True
2750,IL,17080,17080L,State House,State House District 80,Anthony DeLuca,,,80,95,80,Democrat,True
2752,IL,17074,17074L,State House,State House District 74,Daniel Swanson,,,74,76,74,Republican,True
2754,IL,17100,17100L,State House,State House District 100,Christopher Davidsmeyer,,,00,66,100,Republican,True
2756,IL,17030,17030L,State House,State House District 30,William Davis,,,30,94,30,Democrat,True
2757,IL,17052,17052L,State House,State House District 52,Martin McLaughlin,,,52,9999,52,Republican,True
2761,IL,17096,17096L,State House,State House District 96,Sue Scherer,,,96,81,96,Democrat,True
2765,IL,17048,17048L,State House,State House District 48,Terra Costa Howard,,,48,100,48,Democrat,True
2768,IL,17036,17036L,State House,State House District 36,Kelly Burke,,,36,91,36,Democrat,True
2771,IL,17077,17077L,State House,State House District 77,Kathleen Willis,,,77,91,77,Democrat,True
2773,IL,17055,17055L,State House,State House District 55,Martin Moylan,,,55,80,55,Democrat,True
2775,IL,17004,17004L,State House,State House District 4,Delia Ramirez,,,04,100,4,Democrat,True
2777,IL,17092,17092L,State House,State House District 92,Jehan Gordon,,,92,96,92,Democrat,True
2778,IL,17081,17081L,State House,State House District 81,Anne Stava-Murray,,,81,100,81,Democrat,True
2781,IL,17072,17072L,State House,State House District 72,Michael Halpin,,,72,86,72,Democrat,True
2783,IL,17021,17021L,State House,State House District 21,Edgar Gonzalez,,,21,9999,21,Democrat,True
2785,IL,17065,17065L,State House,State House District 65,Dan Ugaste,,,65,80,65,Republican,True
2789,IL,17025,17025L,State House,State House District 25,Curtis Tarver,,,25,100,25,Democrat,True
2791,IL,17084,17084L,State House,State House District 84,Stephanie Kifowit,,,84,93,84,Democrat,True
2792,IL,17091,17091L,State House,State House District 91,Mark Luft,,,91,9999,91,Republican,True
2795,IL,17070,17070L,State House,State House District 70,Jeff Keicher,,,70,77,70,Republican,True
2797,IL,17012,17012L,State House,State House District 12,Margaret Croke,,,12,9999,12,Democrat,True
2799,IL,17045,17045L,State House,State House District 45,Seth Lewis,,,45,9999,45,Republican,True
2804,IL,17023,17023L,State House,State House District 23,Michael Zalewski,,,23,94,23,Democrat,True
2805,IL,17013,17013L,State House,State House District 13,Gregory Harris,,,13,97,13,Democrat,True
2806,IL,17082,17082L,State House,State House District 82,James Durkin,,,82,86,82,Republican,True
2807,IL,17054,17054L,State House,State House District 54,Thomas Morrison,,,54,67,54,Republican,True
2809,IL,17098,17098L,State House,State House District 98,Natalie Manley,,,98,83,98,Democrat,True
2812,IL,17083,17083L,State House,State House District 83,Barbara Hernandez,,,83,100,83,Democrat,True
2814,IL,17066,17066L,State House,State House District 66,Suzanne Ness,,,66,9999,66,Democrat,True
2818,IL,17078,17078L,State House,State House District 78,Camille Lilly,,,78,97,78,Democrat,True
2820,IL,17053,17053L,State House,State House District 53,Mark Walker,,,53,100,53,Democrat,True
2823,IL,17034,17034L,State House,State House District 34,Nicholas Smith,,,34,93,34,Democrat,True
2825,IL,17104,17104L,State House,State House District 104,Michael Marron,,,04,83,104,Republican,True
2828,IL,17028,17028L,State House,State House District 28,Robert Rita,,,28,94,28,Democrat,True
2829,IL,17038,17038L,State House,State House District 38,Debbie Meyers-Martin,,,38,100,38,Democrat,True
2831,IL,17093,17093L,State House,State House District 93,Norine Hammond,,,93,76,93,Republican,True
2832,IL,17090,17090L,State House,State House District 90,Tom Demmer,,,90,86,90,Republican,True
2834,IL,17002,17002L,State House,State House District 2,Theresa Mah,,,02,98,2,Democrat,True
2836,IL,17039,17039L,State House,State House District 39,Will Guzzardi,,,39,97,39,Democrat,True
2838,IL,17114,17114L,State House,State House District 114,Latoya Greenwood,,,14,94,114,Democrat,True
2840,IL,17071,17071L,State House,State House District 71,Tony McCombie,,,71,75,71,Republican,True
2844,IL,17076,17076L,State House,State House District 76,Lance Yednock,,,76,70,76,Democrat,True
2848,IL,17003,17003L,State House,State House District 3,Eva Dina Delgado,,,03,9999,3,Democrat,True
2850,IL,17106,17106L,State House,State House District 106,Thomas Bennett,,,06,88,106,Republican,True
2852,IL,17073,17073L,State House,State House District 73,Ryan Spain,,,73,79,73,Republican,True
2854,IL,17057,17057L,State House,State House District 57,Jonathan Carroll,,,57,95,57,Democrat,True
2856,IL,17109,17109L,State House,State House District 109,Adam Niemerg,,,09,9999,109,Republican,True
2859,IL,17011,17011L,State House,State House District 11,Ann Williams,,,11,97,11,Democrat,True
2861,IL,17032,17032L,State House,State House District 32,Cyril Nichols,,,32,9999,32,Democrat,True
2863,IL,17061,17061L,State House,State House District 61,Joyce Mason,,,61,100,61,Democrat,True
2866,IL,17018,17018L,State House,State House District 18,Robyn Gabel,,,18,97,18,Democrat,True
2868,IL,17108,17108L,State House,State House District 108,Charles Meier,,,08,78,108,Republican,True
2871,IL,17019,17019L,State House,State House District 19,Lindsey LaPointe,,,19,9999,19,Democrat,True
2873,IL,17062,17062L,State House,State House District 62,Sam Yingling,,,62,93,62,Democrat,True
2875,IL,17047,17047L,State House,State House District 47,Deanne Mazzochi,,,47,70,47,Republican,True
2877,IL,17035,17035L,State House,State House District 35,Frances Hurley,,,35,91,35,Democrat,True
2880,IL,17001,17001L,State House,State House District 1,Aaron Ortiz,,,01,100,1,Democrat,True
2884,IL,17113,17113L,State House,State House District 113,Jay Hoffman,,,13,92,113,Democrat,True
2887,IL,17067,17067L,State House,State House District 67,Maurice West,,,67,93,67,Democrat,True
2890,IL,17089,17089L,State House,State House District 89,Andrew Chesney,,,89,50,89,Republican,True
2892,IL,17101,17101L,State House,State House District 101,Dan Caulkins,,,01,46,101,Republican,True
2895,IL,17060,17060L,State House,State House District 60,Rita Mayfield,,,60,90,60,Democrat,True
2897,IL,17105,17105L,State House,State House District 105,Dan Brady,,,05,88,105,Republican,True
2899,IL,17042,17042L,State House,State House District 42,Amy Grant,,,42,75,42,Republican,True
2901,IL,17014,17014L,State House,State House District 14,Kelly Cassidy,,,14,94,14,Democrat,True
2903,IL,17059,17059L,State House,State House District 59,Daniel Didech,,,59,100,59,Democrat,True
2906,IL,17037,17037L,State House,State House District 37,Tim Ozinga,,,37,9999,37,Republican,True
2911,IL,17009,17009L,State House,State House District 9,Lakesia Collins,,,09,9999,9,Democrat,True
2913,IL,17033,17033L,State House,State House District 33,Marcus Evans,,,33,100,33,Democrat,True
2915,IL,17099,17099L,State House,State House District 99,Mike Murphy,,,99,76,99,Republican,True
2918,IL,17058,17058L,State House,State House District 58,Bob Morgan,,,58,100,58,Democrat,True
2921,IL,17049,17049L,State House,State House District 49,Maura Hirschauer,,,49,9999,49,Democrat,True
2923,IL,17079,17079L,State House,State House District 79,Jackie Haas,,,79,9999,79,Republican,True
2927,IL,17088,17088L,State House,State House District 88,Keith Sommer,,,88,71,88,Republican,True
2928,IL,17107,17107L,State House,State House District 107,Blaine Wilhour,,,07,30,107,Republican,True
2930,IL,17085,17085L,State House,State House District 85,Dagmara Avelar,,,85,9999,85,Democrat,True
2932,IL,17063,17063L,State House,State House District 63,Steven Reick,,,63,76,63,Republican,True
2934,IL,17068,17068L,State House,State House District 68,Dave Vella,,,68,9999,68,Democrat,True
2937,IL,17110,17110L,State House,State House District 110,Chris Miller,,,10,35,110,Republican,True
2939,IL,17024,17024L,State House,State House District 24,Elizabeth Hernandez,,,24,97,24,Democrat,True
2940,IL,17046,17046L,State House,State House District 46,Deborah Conroy,,,46,89,46,Democrat,True
2941,IL,17017,17017L,State House,State House District 17,Jennifer Gong-Gershowitz,,,17,100,17,Democrat,True
2943,IL,17075,17075L,State House,State House District 75,David Welter,,,75,78,75,Republican,True
2947,IL,17031,17031L,State House,State House District 31,Mary Flowers,,,31,96,31,Democrat,True
2948,IL,17056,17056L,State House,State House District 56,Michelle Mussman,,,56,85,56,Democrat,True
2950,IL,17094,17094L,State House,State House District 94,Randy Frese,,,94,76,94,Republican,True
2952,IL,17102,17102L,State House,State House District 102,Brad Halbrook,,,02,56,102,Republican,True
2956,IL,17087,17087L,State House,State House District 87,Timothy Butler,,,87,89,87,Republican,True
2958,IL,17043,17043L,State House,State House District 43,Anna Moeller,,,43,97,43,Democrat,True
2960,IL,17069,17069L,State House,State House District 69,Joe Sosnowski,,,69,76,69,Republican,True
2962,IL,17040,17040L,State House,State House District 40,Jaime Andrade,,,40,97,40,Democrat,True
2964,IL,17112,17112L,State House,State House District 112,Katie Stuart,,,12,84,112,Democrat,True
2966,IL,17103,17103L,State House,State House District 103,Carol Ammons,,,03,96,103,Democrat,True
2968,SC,45049,45049L,State House,State House District HD-049,John King,,,49,79,49,Democrat,True
2969,SC,45079,45079L,State House,State House District HD-079,Ivory Thigpen,,,79,70,79,Democrat,True
2971,SC,45064,45064L,State House,State House District HD-064,Kimberly Johnson,,,64,9999,64,Democrat,True
2974,SC,45006,45006L,State House,State House District HD-006,Brian White,,,06,53,6,Republican,True
2975,SC,45118,45118L,State House,State House District HD-118,William Herbkersman,,,18,91,118,Republican,True
2976,SC,45020,45020L,State House,State House District HD-020,Adam Morgan,,,20,50,20,Republican,True
2978,SC,45115,45115L,State House,State House District HD-115,Elizabeth Wetmore,,,15,9999,115,Democrat,True
2981,SC,45050,45050L,State House,State House District HD-050,William Wheeler,,,50,78,50,Democrat,True
2983,SC,45072,45072L,State House,State House District HD-072,Seth Rose,,,72,87,72,Democrat,True
2985,SC,45021,45021L,State House,State House District HD-021,Bobby Cox,,,21,85,21,Republican,True
2988,SC,45065,45065L,State House,State House District HD-065,James Lucas,,,65,63,65,Republican,True
2989,SC,45084,45084L,State House,State House District HD-084,Melissa Oremus,,,84,33,84,Republican,True
2993,SC,45025,45025L,State House,State House District HD-025,Leola Robinson-Simpson,,,25,75,25,Democrat,True
2994,SC,45091,45091L,State House,State House District HD-091,Lonnie Hosey,,,91,75,91,Democrat,True
2995,SC,45070,45070L,State House,State House District HD-070,Wendy Brawley,,,70,77,70,Democrat,True
2997,SC,45012,45012L,State House,State House District HD-012,Anne Parks,,,12,80,12,Democrat,True
2998,SC,45045,45045L,State House,State House District HD-045,Brandon Newton,,,45,60,45,Republican,True
3000,SC,45023,45023L,State House,State House District HD-023,Chandra Dillard,,,23,84,23,Democrat,True
3001,SC,45013,45013L,State House,State House District HD-013,John Mccravy,,,13,62,13,Republican,True
3004,SC,45082,45082L,State House,State House District HD-082,William Clyburn,,,82,74,82,Democrat,True
3005,SC,45054,45054L,State House,State House District HD-054,Patricia Henegan,,,54,78,54,Democrat,True
3008,SC,45098,45098L,State House,State House District HD-098,Christopher Murphy,,,98,65,98,Republican,True
3010,SC,45083,45083L,State House,State House District HD-083,William Hixon,,,83,66,83,Republican,True
3012,SC,45066,45066L,State House,State House District HD-066,Gilda Cobb-Hunter,,,66,89,66,Democrat,True
3013,SC,45051,45051L,State House,State House District HD-051,David Weeks,,,51,73,51,Democrat,True
3014,SC,45010,45010L,State House,State House District HD-010,West Cox,,,10,57,10,Republican,True
3017,SC,45008,45008L,State House,State House District HD-008,Jonathon Hill,,,08,32,8,Republican,True
3019,SC,45022,45022L,State House,State House District HD-022,Jason Elliott,,,22,56,22,Republican,True
3021,SC,45005,45005L,State House,State House District HD-005,Neal Collins,,,05,68,5,Republican,True
3023,SC,45117,45117L,State House,State House District HD-117,Krystle Matthews,,,17,83,117,Democrat,True
3026,SC,45027,45027L,State House,State House District HD-027,Garry Smith,,,27,61,27,Republican,True
3027,SC,45097,45097L,State House,State House District HD-097,Mandy Kimmons,,,97,50,97,Republican,True
3029,SC,45086,45086L,State House,State House District HD-086,Bill Taylor,,,86,75,86,Republican,True
3031,SC,45026,45026L,State House,State House District HD-026,Raye Felder,,,26,58,26,Republican,True
3033,SC,45122,45122L,State House,State House District HD-122,Shedron Williams,,,22,57,122,Democrat,True
3036,SC,45048,45048L,State House,State House District HD-048,Bruce Bryant,,,48,33,48,Republican,True
3039,SC,45007,45007L,State House,State House District HD-007,John West,,,07,63,7,Republican,True
3040,SC,45036,45036L,State House,State House District HD-036,Merita Allison,,,36,66,36,Republican,True
3041,SC,45077,45077L,State House,State House District HD-077,Kambrell Garvin,,,77,57,77,Democrat,True
3043,SC,45004,45004L,State House,State House District HD-004,Davey Hiott,,,04,56,4,Republican,True
3044,SC,45055,45055L,State House,State House District HD-055,Jackie Hayes,,,55,64,55,Democrat,True
3045,SC,45092,45092L,State House,State House District HD-092,Joseph Daning,,,92,67,92,Republican,True
3046,SC,45081,45081L,State House,State House District HD-081,Bart Blackwell,,,81,64,81,Republican,True
3048,SC,45038,45038L,State House,State House District HD-038,Roy Magnuson,,,38,47,38,Republican,True
3051,SC,45093,45093L,State House,State House District HD-093,Russell Ott,,,93,75,93,Democrat,True
3053,SC,45090,45090L,State House,State House District HD-090,Justin Bamberg,,,90,75,90,Democrat,True
3055,SC,45039,45039L,State House,State House District HD-039,Cally Forrest,,,39,72,39,Republican,True
3058,SC,45002,45002L,State House,State House District HD-002,William Sandifer,,,02,67,2,Republican,True
3059,SC,45114,45114L,State House,State House District HD-114,Linda Bennett,,,14,62,114,Republican,True
3062,SC,45071,45071L,State House,State House District HD-071,Nathan Ballentine,,,71,73,71,Republican,True
3063,SC,45076,45076L,State House,State House District HD-076,Leon Howard,,,76,76,76,Democrat,True
3064,SC,45003,45003L,State House,State House District HD-003,Jerry Carter,,,03,9999,3,Republican,True
3067,SC,45106,45106L,State House,State House District HD-106,Russell Fry,,,06,64,106,Republican,True
3069,SC,45073,45073L,State House,State House District HD-073,Christopher Hart,,,73,88,73,Democrat,True
3070,SC,45088,45088L,State House,State House District HD-088,Robert May,,,88,9999,88,Republican,True
3072,SC,45107,45107L,State House,State House District HD-107,Thomas Brittain,,,07,9999,107,Republican,True
3074,SC,45085,45085L,State House,State House District HD-085,Chip Huggins,,,85,70,85,Republican,True
3075,SC,45063,45063L,State House,State House District HD-063,Wallace Jordan,,,63,62,63,Republican,True
3077,SC,45110,45110L,State House,State House District HD-110,William Cogswell,,,10,94,110,Republican,True
3079,SC,45068,45068L,State House,State House District HD-068,Heather Crawford,,,68,51,68,Republican,True
3081,SC,45024,45024L,State House,State House District HD-024,Bruce Bannister,,,24,64,24,Republican,True
3082,SC,45046,45046L,State House,State House District HD-046,Gary Simrill,,,46,72,46,Republican,True
3083,SC,45017,45017L,State House,State House District HD-017,James Burns,,,17,64,17,Republican,True
3085,SC,45075,45075L,State House,State House District HD-075,Kirkman Finlay,,,75,77,75,Republican,True
3087,SC,45031,45031L,State House,State House District HD-031,Rosalyn Henderson-Myers,,,31,70,31,Democrat,True
3089,SC,45056,45056L,State House,State House District HD-056,Timothy McGinnis,,,56,65,56,Republican,True
3092,SC,45094,45094L,State House,State House District HD-094,Gil Gatch,,,94,9999,94,Republican,True
3096,SC,45102,45102L,State House,State House District HD-102,Joseph Jefferson,,,02,78,102,Democrat,True
3097,SC,45087,45087L,State House,State House District HD-087,Paula Rawl Calhoon,,,87,87,87,Republican,True
3100,SC,45043,45043L,State House,State House District HD-043,Randy Ligon,,,43,75,43,Republican,True
3102,SC,45069,45069L,State House,State House District HD-069,Christopher Wooten,,,69,87,69,Republican,True
3105,SC,45040,45040L,State House,State House District HD-040,Richard Martin,,,40,62,40,Republican,True
3107,SC,45112,45112L,State House,State House District HD-112,Joseph Bustos,,,12,9999,112,Republican,True
3109,SC,45103,45103L,State House,State House District HD-103,Carl Anderson,,,03,77,103,Democrat,True
3110,SC,45019,45019L,State House,State House District HD-019,Patrick Haddon,,,19,33,19,Republican,True
3111,SC,45047,45047L,State House,State House District HD-047,Thomas Pope,,,47,67,47,Republican,True
3113,SC,45062,45062L,State House,State House District HD-062,Robert Williams,,,62,70,62,Democrat,True
3114,SC,45121,45121L,State House,State House District HD-121,Michael Rivers,,,21,55,121,Democrat,True
3116,SC,45035,45035L,State House,State House District HD-035,William Chumley,,,35,65,35,Republican,True
3118,SC,45001,45001L,State House,State House District HD-001,William Whitmire,,,01,65,1,Republican,True
3119,SC,45113,45113L,State House,State House District HD-113,Marvin Pendarvis,,,13,80,113,Democrat,True
3121,SC,45120,45120L,State House,State House District HD-120,Weston Newton,,,20,77,120,Republican,True
3122,SC,45067,45067L,State House,State House District HD-067,Murrell Smith,,,67,70,67,Republican,True
3123,SC,45089,45089L,State House,State House District HD-089,Micajah Caskey,,,89,72,89,Republican,True
3125,SC,45101,45101L,State House,State House District HD-101,Cezar McKnight,,,01,75,101,Democrat,True
3127,SC,45060,45060L,State House,State House District HD-060,Phillip Lowe,,,60,66,60,Republican,True
3128,SC,45111,45111L,State House,State House District HD-111,Wendell Gilliard,,,11,82,111,Democrat,True
3129,SC,45095,45095L,State House,State House District HD-095,Jerry Govan,,,95,68,95,Democrat,True
3130,SC,45123,45123L,State House,State House District HD-123,Jeffrey Bradley,,,23,68,123,Republican,True
3133,SC,45080,45080L,State House,State House District HD-080,Jermaine Johnson,,,80,9999,80,Democrat,True
3135,SC,45074,45074L,State House,State House District HD-074,Todd Rutherford,,,74,80,74,Democrat,True
3136,SC,45030,45030L,State House,State House District HD-030,Steve Moss,,,30,57,30,Republican,True
3138,SC,45100,45100L,State House,State House District HD-100,Sylleste Davis,,,00,60,100,Republican,True
3141,SC,45052,45052L,State House,State House District HD-052,Victor Dabney,,,52,9999,52,Republican,True
3143,SC,45096,45096L,State House,State House District HD-096,Donald McCabe,,,96,9999,96,Republican,True
3145,SC,45078,45078L,State House,State House District HD-078,Beth Bernstein,,,78,87,78,Democrat,True
3147,SC,45034,45034L,State House,State House District HD-034,Roger Nutt,,,34,9999,34,Republican,True
3149,SC,45053,45053L,State House,State House District HD-053,Richard Yow,,,53,64,53,Republican,True
3151,SC,45105,45105L,State House,State House District HD-105,Kevin Hardee,,,05,59,105,Republican,True
3153,SC,45042,45042L,State House,State House District HD-042,Doug Gilliam,,,42,37,42,Republican,True
3155,SC,45014,45014L,State House,State House District HD-014,Stewart Jones,,,14,0,14,Republican,True
3157,SC,45059,45059L,State House,State House District HD-059,Terry Alexander,,,59,68,59,Democrat,True
3158,SC,45037,45037L,State House,State House District HD-037,Steven Long,,,37,54,37,Republican,True
3161,SC,45009,45009L,State House,State House District HD-009,Anne Thayer,,,09,63,9,Republican,True
3163,SC,45033,45033L,State House,State House District HD-033,Travis Moore,,,33,9999,33,Republican,True
3166,SC,45099,45099L,State House,State House District HD-099,Marvin Smith,,,99,9999,99,Republican,True
3169,SC,45058,45058L,State House,State House District HD-058,Jeffrey Johnson,,,58,62,58,Republican,True
3171,SC,45104,45104L,State House,State House District HD-104,William Bailey,,,04,50,104,Republican,True
3174,SC,45028,45028L,State House,State House District HD-028,Ashley Trantham,,,28,60,28,Republican,True
3176,SC,45124,45124L,State House,State House District HD-124,Shannon Erickson,,,24,71,124,Republican,True
3177,SC,45057,45057L,State House,State House District HD-057,Frank Atkinson,,,57,66,57,Democrat,True
3180,SC,45119,45119L,State House,State House District HD-119,Leonidas Stavrinakis,,,19,83,119,Democrat,True
3181,SC,45109,45109L,State House,State House District HD-109,Deon Tedder,,,09,9999,109,Democrat,True
3183,SC,45011,45011L,State House,State House District HD-011,Craig Gagnon,,,11,66,11,Republican,True
3185,SC,45032,45032L,State House,State House District HD-032,Max Hyde,,,32,75,32,Republican,True
3187,SC,45061,45061L,State House,State House District HD-061,Roger Kirby,,,61,77,61,Democrat,True
3189,SC,45018,45018L,State House,State House District HD-018,Tommy Stringer,,,18,62,18,Republican,True
